config.episode_length,config.deque_size,action.command,state.position,state.velocity,state.angle,state.rotation,reward,terminal,time,simulator,predict,sim_id,statistics.episode_reward,statistics.episode_count,statistics.episode_rate,statistics.iteration_count,statistics.iteration_rate
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
-1,1,,0.03787131740490669,-0.03412023562162334,-0.04859939500636621,0.041939785965282736,,,2018-07-17 10:56:01,cartpole_simulator,False,525576422,0,0,0,0,0
,,0,0.03718891269247423,-0.2285128118386417,-0.04776059928706056,0.31890176778447304,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,1.0,0,0,1,0
,,0,0.032618656455701396,-0.4229231602646295,-0.041382563931371096,0.5961484767560524,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,2.0,0,0,2,0
,,1,0.024160193250408808,-0.22724724951689895,-0.029459594396250045,0.2907228969087427,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,3.0,0,0,3,1
,,1,0.019615248260070828,-0.03171789085790572,-0.023645136458075193,-0.011103748094942856,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,4.0,0,0,4,1
,,1,0.018980890442912714,0.16373504266267283,-0.02386721141997405,-0.31115221736119525,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,5.0,0,0,5,2
,,0,0.02225559129616617,-0.031038885059806454,-0.030090255767197958,-0.026090829626658874,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,6.0,0,0,6,2
,,1,0.02163481359497004,0.1645013733146091,-0.030612072359731134,-0.3281136424283721,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,7.0,0,0,7,3
,,1,0.024924841061262224,0.3600454535408557,-0.03717434520829858,-0.6302908840811214,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,8.0,0,0,8,3
,,1,0.03212575013207934,0.5556658721940524,-0.04978016288992101,-0.9344455252468951,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,9.0,0,0,9,3
,,1,0.04323906757596039,0.7514227095149292,-0.06846907339485891,-1.2423463568583828,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,10.0,0,0,10,4
,,0,0.058267521766258976,0.5572431246502648,-0.09331600053202657,-0.9718736333900351,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,11.0,0,0,11,4
,,1,0.06941238425926427,0.7534850669478906,-0.11275347319982727,-1.2923509435921559,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,12.0,0,0,12,5
,,1,0.08448208559822208,0.949845171761796,-0.13860049207167038,-1.618100113680378,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,13.0,0,0,13,5
,,1,0.10347898903345801,1.1463022114884018,-0.17096249434527794,-1.9505779385087223,1.0,False,2018-07-17 10:56:02,cartpole_simulator,False,525576422,14.0,0,0,14,5
,,0,0.12640503326322605,0.9533617244595013,-0.2099740531154524,-1.7154048717647983,1.0,True,2018-07-17 10:56:02,cartpole_simulator,False,525576422,15.0,0,0,15,6
,,,,,,,,,,,,,,,,,
